EVENTDAYWELLNAME,start_time,end_time,EVENTNAME,EVENTDAYDOWNTIME,EVENTDAYLOSSGAS,EVENTDAYLOSSOIL,EVENTDAYLOSSCONDENSATEFORMATION,GAS RATE,OIL RATE,CONDENSATE RATE,SIBU/NonSIBU,ROOTCAUSEDESCRIPTION
PK-A1:S1,3/16/2004 0:00,3/17/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A10:S1,3/17/2004 0:00,3/18/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,3/18/2004 0:00,3/19/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,3/19/2004 0:00,3/20/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,3/21/2004 0:00,3/22/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,Automatic DP
PK-A1:S1,3/23/2004 0:00,3/24/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,3/24/2004 0:00,3/25/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,3/25/2004 0:00,3/26/2004 0:00,NULL,24,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,3/26/2004 0:00,3/26/2004 14:34,NULL,14.58111111,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,3/26/2004 14:34,3/26/2004 15:34,NULL,1.000277778,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,3/26/2004 15:34,3/26/2004 16:34,NULL,1.000277778,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,3/26/2004 16:34,3/26/2004 17:34,NULL,1.000277778,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,3/26/2004 17:34,3/27/2004 0:00,NULL,6.418055556,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,3/30/2004 13:26,3/30/2004 14:26,NULL,1.000277778,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,3/30/2004 14:26,3/30/2004 15:26,NULL,1.000277778,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,3/30/2004 15:26,3/31/2004 0:00,NULL,8.556111111,0,0,0,0,0,0,NonSIBU,EOD Event
PK-A1:S1,3/31/2004 0:00,3/31/2004 13:22,NULL,13.37083333,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,3/31/2004 13:22,3/31/2004 14:22,NULL,1.000277778,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,3/31/2004 14:22,3/31/2004 16:07,NULL,1.745833333,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,3/31/2004 16:07,3/31/2004 17:07,NULL,1.000277778,0,0,0,0,0,0,NonSIBU,Automatic DP Change Event
PK-A1:S1,3/31/2004 17:07,4/1/2004 0:00,NULL,6.882777778,0,0,0,0,0,0,NonSIBU,EOD Event
